ovro_name,cgrabs_name,3FGL_name,Clean_3lac,3LAC,flux_int,n_flux,n_uplim
PKS1510-089,,3FGL J1512.8-0906,Y,Y,92.703112,48,0
J2253+1608,J2253+1608,3FGL J2254.0+1608,Y,Y,237.375639,48,0
J2203+1725,J2203+1725,3FGL J2203.4+1725,Y,Y,7.42772,48,0
J2143+1743,J2143+1743,3FGL J2143.5+1744,Y,Y,13.842121,48,0
J1959+6508,J1959+6508,3FGL J2000.0+6509,Y,Y,4.301544,48,0
J1806+6949,J1806+6949,3FGL J1806.7+6949,Y,Y,4.810415,48,0
J1800+7828,J1800+7828,3FGL J1800.5+7827,Y,Y,8.776493,48,0
J1748+7005,J1748+7005,3FGL J1748.6+7005,Y,Y,4.502538,48,0
J1653+3945,J1653+3945,3FGL J1653.9+3945,Y,Y,5.240971,48,0
J1635+3808,J1635+3808,3FGL J1635.2+3809,Y,Y,26.979384,48,0
J1555+1111,J1555+1111,3FGL J1555.7+1111,Y,Y,5.694361,48,0
J1522+3144,J1522+3144,3FGL J1522.1+3144,Y,Y,39.206216,48,0
J1256-0547,J1256-0547,3FGL J1256.1-0547,Y,Y,44.707463,48,0
J1248+5820,J1248+5820,3FGL J1248.2+5820,Y,Y,3.355393,48,0
J1231+2847,,3FGL J1231.7+2847,Y,Y,2.473193,48,0
J1229+0203,J1229+0203,3FGL J1229.1+0202,Y,Y,46.273482,48,0
J1221+2813,J1221+2813,3FGL J1221.4+2814,Y,Y,4.852635,48,0
J1217+3007,J1217+3007,3FGL J1217.8+3007,Y,Y,6.357583,48,0
J1159+2914,J1159+2914,3FGL J1159.5+2914,Y,Y,12.278689,48,0
J1127-1857,J1127-1857,3FGL J1127.0-1857,Y,Y,11.44105,48,0
J1104+3812,J1104+3812,3FGL J1104.4+3812,Y,Y,18.036083,48,0
J1058+5628,J1058+5628,3FGL J1058.6+5627,Y,Y,3.437535,48,0
J1058+0133,J1058+0133,3FGL J1058.5+0133,Y,Y,9.913983,48,0
J1015+4926,J1015+4926,3FGL J1015.0+4925,Y,Y,5.00506,48,0
J0854+2006,J0854+2006,3FGL J0854.8+2006,Y,Y,7.863308,48,0
J0818+4222,J0818+4222,3FGL J0818.2+4223,Y,Y,7.116529,48,0
J0739+0137,J0739+0137,3FGL J0739.4+0137,Y,Y,7.716818,48,0
J0738+1742,J0738+1742,3FGL J0738.1+1741,Y,Y,5.248289,48,0
J0721+7120,J0721+7120,3FGL J0721.9+7120,Y,Y,22.575577,48,0
J0612+4122,J0612+4122,3FGL J0612.8+4122,Y,Y,4.204837,48,0
J0509+0541,J0509+0541,3FGL J0509.4+0541,Y,Y,6.513434,48,0
J0449+1121,J0449+1121,3FGL J0449.0+1121,Y,Y,9.229858,48,0
J0319+4130,J0319+4130,3FGL J0319.8+4130,Y,Y,23.388141,48,0
J0237+2848,J0237+2848,3FGL J0237.9+2848,Y,Y,20.753721,48,0
J0211+1051,J0211+1051,3FGL J0211.2+1051,Y,Y,6.09324,48,0
J0112+2244,J0112+2244,3FGL J0112.1+2245,Y,Y,7.616632,48,0
J0108+0135,J0108+0135,3FGL J0108.7+0134,Y,Y,12.645559,48,0
CR2243+2021,,3FGL J2243.9+2021,Y,Y,2.192471,48,0
CR1903+5540,,3FGL J1903.2+5541,Y,Y,2.381051,48,0
CR1427+2347,,3FGL J1427.0+2347,Y,Y,8.161755,48,0
C1253+5301,,3FGL J1253.2+5300,Y,Y,2.964163,48,0
C1037+5711,,3FGL J1037.5+5711,Y,Y,2.091269,48,0
C0957+5522,,3FGL J0957.6+5523,Y,Y,8.995245,48,0
C0144+2705,,3FGL J0144.6+2705,Y,Y,6.049985,48,0
BLLacertae,,3FGL J2202.7+4217,Y,Y,27.895734,48,0
BBJ1150+4154,,3FGL J1150.5+4155,Y,Y,1.114829,48,0
BBJ0136+3905,,3FGL J0136.5+3905,Y,Y,2.907244,48,0
3C66A,,3FGL J0222.6+4301,Y,Y,14.323865,48,0
NVSSJ000922+503028,,3FGL J0009.3+5030,Y,Y,2.834098,47,1
J1824+5651,J1824+5651,3FGL J1824.2+5649,Y,Y,5.679136,47,1
J1751+0939,J1751+0939,3FGL J1751.5+0939,Y,Y,5.309598,47,1
J1504+1029,J1504+1029,3FGL J1504.4+1029,Y,Y,39.456245,47,1
J1136+7009,J1136+7009,3FGL J1136.6+7009,Y,Y,0.824624,47,1
J1048+7143,J1048+7143,3FGL J1048.4+7144,Y,Y,6.1858,47,1
J0915+2933,,3FGL J0915.8+2933,Y,Y,1.501642,47,1
J0725+1425,J0725+1425,3FGL J0725.2+1425,Y,Y,11.245412,47,1
J0607+4739,J0607+4739,3FGL J0607.4+4739,Y,Y,3.804001,47,1
J0532+0732,J0532+0732,3FGL J0532.7+0732,Y,Y,10.80194,47,1
J0423-0120,J0423-0120,3FGL J0423.2-0119,Y,Y,10.617475,47,1
FRBAJ2340+80,,3FGL J2340.7+8016,Y,Y,1.539183,47,1
CR1542+6129,,3FGL J1542.9+6129,Y,Y,4.239084,47,1
CR1059-1134,,3FGL J1059.2-1133,Y,Y,3.204008,47,1
C1454+5124,,3FGL J1454.5+5124,Y,Y,2.851202,47,1
C1239+0443,,3FGL J1239.5+0443,Y,Y,11.174667,47,1
C1224+2122,,3FGL J1224.9+2122,Y,Y,47.944462,47,1
C0719+3307,,3FGL J0719.3+3307,Y,Y,7.540275,47,1
BL0647+250,,3FGL J0650.7+2503,Y,Y,1.053887,47,1
BBJ1309+4305,,3FGL J1309.3+4304,Y,Y,1.710313,47,1
2230+114,,3FGL J2232.5+1143,Y,Y,15.976745,47,1
1ES1218+304,,3FGL J1221.3+3010,Y,Y,0.740598,47,1
1ES0806+524,,3FGL J0809.8+5218,Y,Y,3.838946,47,1
SDSSJ141826.,,3FGL J1418.4-0233,Y,Y,0.836594,46,2
RBS76,,3FGL J0033.6-1921,Y,Y,1.540053,46,2
PKS1509+022,,3FGL J1512.2+0202,Y,Y,3.117478,46,2
J2323-0317,J2323-0317,3FGL J2323.5-0315,Y,Y,5.193766,46,2
J2229-0832,J2229-0832,3FGL J2229.7-0833,Y,Y,12.41574,46,2
J1725+1152,J1725+1152,3FGL J1725.0+1152,Y,Y,4.312905,46,2
J1327+2210,J1327+2210,3FGL J1326.8+2211,Y,Y,4.232789,46,2
J1310+3220,J1310+3220,3FGL J1310.6+3222,Y,Y,6.067276,46,2
J1222+0413,J1222+0413,3FGL J1222.4+0414,Y,Y,7.500795,46,2
J0948+0022,J0948+0022,3FGL J0948.8+0021,Y,Y,11.81571,46,2
J0920+4441,J0920+4441,3FGL J0920.9+4442,Y,Y,10.505581,46,2
J0909+0121,J0909+0121,3FGL J0909.1+0121,Y,Y,9.610201,46,2
J0339-0146,J0339-0146,3FGL J0339.5-0146,Y,Y,7.889251,46,2
J0221+3556,J0221+3556,3FGL J0221.1+3556,Y,Y,9.267871,46,2
J0136+4751,J0136+4751,3FGL J0137.0+4752,Y,Y,8.345779,46,2
C2121+1901,,3FGL J2121.0+1901,Y,Y,3.037867,46,2
C2025-0735,,3FGL J2025.6-0736,Y,Y,12.652485,46,2
C1607+1551,,3FGL J1607.0+1551,Y,Y,3.639934,46,2
C1345+4452,,3FGL J1345.6+4453,Y,Y,11.424081,46,2
C1243+3627,,3FGL J1243.1+3627,Y,Y,1.191463,46,2
0502+675,,3FGL J0508.0+6736,Y,Y,0.778178,46,2
